4535	9606.ENSP00000354687
4536	9606.ENSP00000355046
4512	9606.ENSP00000354499
4513	9606.ENSP00000354876
4509	9606.ENSP00000355265
4508	9606.ENSP00000354632
4514	9606.ENSP00000354982
4537	9606.ENSP00000355206
4539	9606.ENSP00000354728
4538	9606.ENSP00000354961
4540	9606.ENSP00000354813
4541	9606.ENSP00000354665
4519	9606.ENSP00000354554
102723407	9606.ENSP00000478289
56975	9606.ENSP00000322323
641700	9606.ENSP00000479243
111064649	9606.ENSP00000490796
340061	9606.ENSP00000498596
283189	9606.ENSP00000307515
8287	9606.ENSP00000342812
6011	9606.ENSP00000334876
442862	9606.ENSP00000302319
9086	9606.ENSP00000354722
728137	9606.ENSP00000397151
728403	9606.ENSP00000372462
728137	9606.ENSP00000397151
64591	9606.ENSP00000372512
7258	9606.ENSP00000403304
378949	9606.ENSP00000372127
8284	9606.ENSP00000322408
86614	9606.ENSP00000303599
90655	9606.ENSP00000453750
378951	9606.ENSP00000250831
57135	9606.ENSP00000389300
203611	9606.ENSP00000402280
6736	9606.ENSP00000372547
6192	9606.ENSP00000250784
283093	9606.ENSP00000334418
7544	9606.ENSP00000155093
8653	9606.ENSP00000353284
7404	9606.ENSP00000442047
79602	9606.ENSP00000349616
93589	9606.ENSP00000372169
654429	9606.ENSP00000446278
196513	9606.ENSP00000280665
775	9606.ENSP00000266376
9087	9606.ENSP00000284856
1617	9606.ENSP00000384573
266	9606.ENSP00000372505
90665	9606.ENSP00000372499
57055	9606.ENSP00000371802
64591	9606.ENSP00000372512
378950	9606.ENSP00000372105
22829	9606.ENSP00000348169
56256	9606.ENSP00000355979
55733	9606.ENSP00000438468
353513	9606.ENSP00000250823
140032	9606.ENSP00000486252
83259	9606.ENSP00000355419
27328	9606.ENSP00000362186
442867	9606.ENSP00000329106
9085	9606.ENSP00000302968
378951	9606.ENSP00000250831
728132	9606.ENSP00000499192
7258	9606.ENSP00000403304
378948	9606.ENSP00000372484
378949	9606.ENSP00000372127
5940	9606.ENSP00000372154
90668	9606.ENSP00000340467
9362	9606.ENSP00000440077
4901	9606.ENSP00000454062
5106	9606.ENSP00000216780
80344	9606.ENSP00000415556
161247	9606.ENSP00000267426
5720	9606.ENSP00000372155
51016	9606.ENSP00000403210
5721	9606.ENSP00000216802
728395	9606.ENSP00000372471
7258	9606.ENSP00000403304
55072	9606.ENSP00000315112
728403	9606.ENSP00000372462
10379	9606.ENSP00000380073
728137	9606.ENSP00000397151
9985	9606.ENSP00000482546
79711	9606.ENSP00000346453
10548	9606.ENSP00000261789
283629	9606.ENSP00000339179
29082	9606.ENSP00000476412
